5.04	5.86	x
7.36	7.92	x
8.24	9.76	x
11.0	11.52	x
11.98	13.46	x
14.6	16.84	x
18.04	18.64	x
19.06	19.88	x
20.24	20.86	x
22.02	22.58	x
23.18	23.74	x
24.14	24.72	x
25.88	26.5	x
27.26	28.1	x
28.7	29.08	x
30.3	30.86	x
31.26	32.78	x
33.98	34.48	x
34.9	36.32	x
37.4	39.7	x
40.8	42.22	x
42.9	43.26	x
44.42	44.98	x
45.34	45.88	x
46.22	46.8	x
47.98	48.56	x
48.9	49.88	x
50.22	50.82	x
51.98	52.54	x
53.04	53.62	x
54.0	54.64	x
55.8	56.36	x
56.7	58.28	x
59.4	61.74	x
62.9	63.54	x
63.88	64.96	x
65.34	65.92	x
67.14	67.6	x
68.06	68.58	x
69.1	69.68	x
70.9	71.46	x
71.86	72.48	x
72.92	73.52	x
74.74	77.26	x
78.42	79.02	x
79.44	80.2	x
80.8	81.16	x
82.48	83.02	x
83.42	84.06	x
84.7	85.06	x
86.42	86.98	x
87.38	88.26	x
88.7	89.32	x
90.62	92.08	x
92.44	93.08	x
94.3	94.86	x
95.26	96.12	x
96.6	97.2	x
98.36	98.96	x
99.34	100.04	x
100.38	101.04	x
102.5	103.12	x
103.72	104.3	x
104.66	105.28	x
106.64	107.26	x
107.64	108.28	x
108.6	109.2	x
110.38	112.78	x
115.1	115.62	x
116.0	116.72	x
117.06	117.68	x
118.8	120.32	x
120.66	121.28	x
122.36	123.92	x
124.24	124.84	x
126.08	126.66	x
127.08	127.86	x
128.18	128.8	x
130.12	130.72	x
131.1	131.64	x
132.0	132.62	x
134.0	134.52	x
135.02	136.6	x
137.88	140.34	x
141.58	142.16	x
142.52	143.28	x
143.62	144.22	x
145.5	147.96	x
149.24	149.74	x
150.1	150.82	x
151.2	151.8	x
153.08	155.6	x
156.78	159.28	x
160.58	162.14	x
162.54	163.12	x
168.42	168.68	x
175.96	176.6	x
177.16	177.78	x
178.32	178.98	x
